['you look fat', '太っ--動 て--助 見える--動 よ--助']
['were married', '私--名 たち--名 は--助 夫婦--名 だ--助']
['weve arrived', 'はい--感 、--記 着き--動 まし--助 た--助']
['weve arrived', 'さあ--感 着い--動 た--助 ぞ--助']
['weve arrived', 'さあ--感 、--記 着き--動 まし--助 た--助 よ--助']
['weve arrived', '着き--動 まし--助 た--助 よ--助']
['weve seen it', '私--名 たち--名 は--助 それ--名 を--助 見--動 た--助 こと--名 が--助 ある--動']
['what a relief', 'やれ--動 や--助']
['what a relief', 'ああ--感 、--記 ほっと--副 し--動 た--助']
['what happened', '何--名 が--助 起き--動 た--助 の--助']
['what happened', '何--名 が--助 起こっ--動 た--助 ん--名 だ--助']
['what happened', '何--名 が--助 起こっ--動 た--助 の--名 です--助 か--助']
['what happened', '何--名 が--助 起こっ--動 た--助 の--助']
['what happened', '何--名 が--助 あっ--動 た--助 の--助']
['what happened', 'どう--副 し--動 まし--助 た--助']
['what is a ufo', 'ユーフォー--名 って--助 何--名']
['whats inside', '何--名 が--助 入っ--動 てる--動 の--助']
['whats inside', '中身--名 は--助 何--名 な--助 の--助']
['when was that', 'それ--名 は--助 い--動 つ--助 でし--助 た--助 か--助']
['where are you', 'どこ--名 に--助 い--動 ます--助 か--助']
['where was tom', 'トム--名 は--助 どこ--名 に--助 い--動 まし--助 た--助 か--助']
['where were we', 'どこ--名 まで--助 話し--動 まし--助 た--助 か--助']
['which is mine', '私--名 の--名 は--助 どれ--名']
['who said that', '誰--名 が--助 そんな--連 こと--名 言っ--動 た--助 の--助']
['whose is this', 'これ--名 誰--名 の--助']
['whose is this', 'これ--名 は--助 誰--名 の--助 もの--名 です--助 か--助']
['whose is this', 'これ--名 誰--名 の--名 です--助 か--助']
['will she come', '彼女--名 は--助 来る--動 だろ--助 う--助 か--助']
['you all right', '大丈夫--名']
['you are lying', '嘘--名 を--助 つい--動 て--助 いる--動 ね--助']
['you can do it', 'できる--動 よ--助']
['you can do it', '大丈夫--名 、--記 出来--動 ます--助 よ--助']
['you can do it', '君--名 なら--助 できる--動']
['you can do it', 'あなた--名 が--助 やれ--動 ば--助']
['you can relax', 'リラックス--名 し--動 て--助 いい--形 よ--助']
['you look busy', '忙し--形 そう--名 です--助 ね--助']
['you look pale', '顔色--名 が--助 わるい--形 です--助 よ--助']
['you look sick', '体調--名 が--助 悪--形 そう--名 です--助 よ--助']
['you need rest', '少し--副 休ん--動 だ--助 ほう--名 が--助 いい--形']
['you seem busy', '忙し--形 そう--名 です--助 ね--助']
['you should go', '君--名 は--助 行っ--動 た--助 ほう--名 が--助 よい--形']
['you should go', 'あなた--名 は--助 行っ--動 た--助 ほう--名 が--助 いい--形']
['you were sick', 'あなた--名 は--助 病気--名 だっ--助']
['youre a liar', '嘘--名 つけ--名']
['youre a liar', '嘘--名 つけ--名']
['youre a liar', '君--名 は--助 嘘つき--名 だ--助']
['youre joking', '嘘--名 だろ--助']
['zip your lips', 'お--接 口--名 チャック--名 し--動 て--助 ください--動']
['zip your lips', '口--名 チャック--名 し--動 て--助']
['a beer please', 'ビール--名 を--助 ください--動']
['a beer please', 'ビール--名 ひとつ--名 お願い--名 し--動 ます--助']
['a coke please', 'コーク--名 を--助 ください--動']
['a coke please', 'コーラ--名 ひとつ--名 お願い--名 し--動 ます--助']
['act like a man', '男らしく--形 振る舞い--動 なさい--動']
['allow me to go', '私--名 に--助 行か--動 せ--動 て--助']
['am i safe here', 'ここ--名 なら--助 安全--名 な--助 の--名 です--助 か--助']
['are you asleep', '寝--動 てる--動 の--助']
['are you crying', '泣い--動 て--助 いる--動 の--助']
['are you famous', 'あなた--名 は--助 有名--名 です--助 か--助']
['are you hungry', 'お腹--名 が--助 空い--動 て--助 いる--動 の--名 です--助 か--助']
['are you hungry', 'お腹--名 は--助 空い--動 て--助 い--動 ます--助 か--助']
['are you joking', '冗談--名 でしょ--助']
['are you single', '独身--名 です--助 か--助']
['are you sleepy', '眠い--形 です--助 か--助']
['are you sleepy', '眠い--形']
['are you sleepy', '眠い--形 の--助']
['are you sleepy', '眠い--形 ん--名 です--助 か--助']
['are you stupid', 'お前--名 は--助 馬鹿--名 か--助']
['are you two ok', '二--名 人--名 とも--助 、--記 大丈夫--名']
['arent you hot', '暑く--形 ない--助 ん--名 です--助 か--助']
['arent you hot', '暑く--形 ない--助 の--助']
['arent you sad', '悲しく--形 ない--助 の--助']
['autumn is here', '秋--名 に--助 なり--動 まし--助 た--助']
['be nice to her', '彼女--名 に--助 優しく--形 し--動 て--助 あげ--動 なさい--動 よ--助']
['both are alive', '２--名 人--名 共--名 生き--動 て--助 いる--動']
['bring tom back', 'トム--名 を--助 連れ戻し--動 て--助 き--動 て--助']
['bring tom here', 'トム--名 を--助 ここ--名 に--助 連れ--動 て--助 き--動 て--助']
['bring a shovel', 'シャベル--名 持っ--動 て--助 き--動 て--助']
['bring me money', '金--名 を--助 持っ--動 て--助 来い--動']
['can i eat this', 'これ--名 を--助 食べ--動 て--助 いい--形 です--助 か--助']
['can i help you', '手伝お--動 う--助 か--助']
['can i help you', '何--名 か--助 手伝い--動 ましょ--助 う--助 か--助']
['can i help you', '手伝お--動 う--助 か--助']
['can i see that', 'それ--名 を--助 見る--動 こと--名 が--助 でき--動 ます--助 か--助']
['can i sit down', '座っ--動 て--助 も--助 いい--形 です--助 か--助']
['can i sit here', 'ここ--名 に--助 座っ--動 て--助 も--助 いい--形 です--助 か--助']
['can i sit here', 'ここ--名 座っ--動 て--助 も--助 いい--形 です--助 か--助']
['can i sit here', 'ここ--名 座っ--動 て--助 いい--形 です--助 か--助']
['can i sit here', 'ここ--名 座っ--動 て--助 も--助 いい--形']
['can i tell tom', 'トム--名 に--助 話し--動 て--助 も--助 いい--形']
['can i touch it', 'これ--名 、--記 触っ--動 て--助 も--助 いい--形']
['clean the room', '部屋--名 を--助 片付け--動 なさい--動']
['clean the room', '部屋--名 を--助 片づけ--動 て--助']
['clean the room', '部屋--名 を--助 掃除--名 し--動 なさい--動']
['close the book', '本--名 を--助 閉じ--動 なさい--動']
['close the book', '本--名 を--助 閉じ--動 て--助']
['close the door', '戸--名 を--助 閉めろ--動']
['close the door', 'ドア--名 を--助 閉め--動 て--助']
['close the door', 'ドア--名 を--助 閉め--動 て--助']
['close the door', 'ドア--名 閉め--動 て--助']
['close the gate', '門--名 を--助 閉め--動 て--助']
['coffee please', 'コーヒー--名 を--助 ください--動']
['coffee please', 'コーヒー--名 ください--動']
['coffee please', 'コーヒー--名 を--助 お願い--名 し--動 ます--助']
['come back home', '家--名 に--助 戻っ--動 て--助 き--動 なさい--動']
['come back soon', '早く--形 帰っ--動 て--助 き--動 なさい--動 よ--助']
['come back soon', '早く--形 帰っ--動 て--助 き--動 なさい--動']
['come back soon', 'すぐ--副 戻っ--動 て--助 こい--動 よ--助']
['come back soon', 'すぐ--副 に--助 戻っ--動 て--助 ね--助']
['come over here', 'こっち--名 に--助 来--動 て--助']
['come over here', 'こっち--名 に--助 来い--動 よ--助']
['come over here', 'こっち--名 へ--助 おいで--名']
['come over here', 'こっち--名 おいで--名']
['cows eat grass', '牛--名 は--助 草--名 を--助 食べる--動']
['dad isnt home', '父--名 は--助 家--名 に--助 い--動 ませ--助 ん--助']
['dinners ready', '夕食--名 が--助 でき--動 た--助 よ--助']
['dinners ready', '夕食--名 が--助 でき--動 た--助 よ--助']
['dinners ready', '食事--名 です--助 よ--助']
['do as you like', '好き--名 に--助 し--動 て--助 ください--動']
['do as you like', 'お--接 好き--名 な--助 よう--名 に--助']
['do you hate me', '私--名 の--助 こと--名 嫌い--名 な--助 の--助']
['do you hear me', '聞い--動 てる--動 の--助']
['do you love me', '僕--名 の--助 こと--名 好き--名']
['do you love me', '私--名 を--助 愛し--動 てる--動']
['do you read me', '聞こえ--動 ます--助 か--助']
['do you recycle', '再--接 利用--名 する--動 の--助']
['do you recycle', 'リサイクル--名 する--動 の--助']
['does tom drink', 'トム--名 は--助 飲ん--動 でる--動']
['dogs are smart', '犬--名 は--助 賢い--形']
['dont be angry', '怒る--動 な--助 よ--助']
['dont be angry', '怒ら--動 ない--助 で--助']
['dont be silly', '馬鹿--名 な--助 こと--名 を--助 言う--動 な--助']
['dont be silly', 'ふざける--動']
['dont be tardy', '遅刻--名 する--動 な--助 よ--助']
['dont blame me', '僕--名 の--助 せい--名 に--助 する--動 な--助 よ--助']
['dont blame me', '私--名 の--助 せい--名 に--助 し--動 ない--助 で--助 よ--助']
['dont run away', '逃げる--動 な--助']
['dont say that', 'そんな--連 こと--名 言う--動 な--助 よ--助']
['dont show off', '格好--名 つける--動 な--助']
['dont show off', '見せびらかす--動 な--助 よ--助']
['dont stand up', '立ち上がっ--動 て--助 は--助 いけ--動 ませ--助 ん--助']
['dont tell tom', 'トム--名 に--助 は--助 絶対--名 に--助 言う--動 な--助 よ--助']
['dont tell tom', 'トム--名 に--助 は--助 内緒--名 だ--助 よ--助']
['dont tell tom', 'トム--名 に--助 は--助 言わ--動 ない--助 で--助 ね--助']
['dont tell tom', 'トム--名 に--助 は--助 言う--動 な--助 よ--助']
['dont touch it', '触る--動 な--助']
['dont touch me', '私--名 に--助 触ら--動 ない--助 で--助']
['drop me a line', '手紙--名 を--助 ください--動 ね--助']
['drop your guns', '銃--名 を--助 落とせ--動']
['drop your guns', '銃--名 を--助 落とせ--動']
['enjoy yourself', '楽しん--動 で--助 ね--助']
['everybody lies', 'みんな--名 は--助 嘘--名 を--助 つく--動']
['get on the bus', 'バス--名 に--助 乗り--動 なさい--動']
['get out of bed', '起き--動 なさい--動']
['get out of bed', 'ベッド--名 から--助 出--動 なさい--動']
['get out of bed', '起き--動 なさい--動']
['give it a rest', 'いいかげん--名 に--助 し--動 て--助']
['give it to her', 'それ--名 を--助 彼女--名 に--助 与え--動 なさい--動']
['give it to him', 'それ--名 を--助 彼--名 に--助 与え--動 なさい--動']
['give me a shot', '一杯--副 ください--動']
['go wake tom up', 'トム--名 を--助 起こし--動 て--助 き--動 て--助']
['good afternoon', 'こんにちは--感']
['hand me my mug', '私--名 の--助 マグカップ--名 取っ--動 て--助']
['hand me my mug', '私--名 の--助 マグカップ--名 を--助 取っ--動 て--助 くれる--動']
['happy new year', '明け--動 まし--助 て--助 おめでとう--感']
['happy new year', 'よい--形 お年--名 を--助']
['happy new year', 'あけ--動 お--接 め--名']
['happy birthday', 'お--接 誕生--名 日--名 おめでとう--感 ござい--助 ます--助']
['happy birthday', '誕生--名 日--名 おめでとう--感']
['have you eaten', '食べ--動 た--助 こと--名 ある--動 の--助']
['have you eaten', '食べ--動 た--助 の--助']
['he accelerated', '彼--名 は--助 スピード--名 を--助 上げ--動 た--助']
['he became rich', '彼--名 は--助 金持ち--名 に--助 なっ--動 た--助']
['he came by bus', '彼--名 は--助 バス--名 でき--動 まし--助 た--助']
['he came by car', '彼--名 は--助 車--名 でき--動 た--助']
['he cant count', '彼--名 は--助 数--名 を--助 数える--動 こと--名 が--助 でき--動 ない--助']
['he cant do it', '彼--名 に--助 は--助 それ--名 は--助 する--動 こと--名 が--助 でき--動 ない--助']
['he cannot swim', '彼--名 は--助 水泳--名 が--助 出来--動 ない--助']
['he cannot swim', '彼--名 は--助 泳ぐ--動 こと--名 が--助 出来--動 ませ--助 ん--助']
['he doesnt lie', '彼--名 は--助 嘘--名 など--助 言わ--動 ない--助']
['he felt uneasy', '彼--名 は--助 不安--名 に--助 なっ--動 た--助']
['he felt uneasy', '彼--名 は--助 不安--名 な--助 気持ち--名 だっ--助 た--助']
['he flew a kite', '彼--名 は--助 たこ--名 を--助 揚げ--動 た--助']
['he has a lunch', '彼--名 は--助 弁当--名 を--助 持っ--動 て--助 いる--動']
['he has changed', '彼--名 は--助 変わっ--動 て--助 しまっ--動 た--助']
['he hated lying', '彼--名 は--助 嘘--名 を--助 つく--動 こと--名 が--助 大嫌い--名 だっ--助 た--助']
['he is american', '彼--名 は--助 アメリカ--名 人--名 です--助']
['he is japanese', '彼--名 は--助 日本人--名 です--助']
['he is a doctor', '彼--名 は--助 医者--名 だ--助']
['he is a genius', '彼--名 は--助 天才--名 だ--助']
['he is a golfer', '彼--名 は--助 ゴルファー--名 だ--助']
['he is a writer', '彼--名 は--助 作家--名 です--助']
['he is an actor', '彼--名 は--助 俳優--名 です--助']
['he is delicate', '彼--名 は--助 繊細--名 だ--助']
['he is in tokyo', '彼--名 は--助 東京--名 に--助 い--動 ます--助']
['he is outgoing', '彼--名 は--助 外向--名 的--名 だ--助']
['he is powerful', '彼--名 は--助 強い--形']
['he is powerful', '彼--名 は--助 たくましい--形']
['he is well off', '彼--名 は--助 暮し向き--名 が--助 良い--形']
['he keeps a cat', '彼--名 は--助 猫--名 を--助 飼っ--動 て--助 いる--動']
['he lay face up', '彼--名 は--助 仰向け--名 に--助 寝--動 て--助 い--動 た--助']
['he learns fast', '彼--名 は--助 覚え--動 が--助 早い--形']
['he lives alone', '彼--名 は--助 一--名 人--名 で--助 住ん--動 で--助 い--動 ます--助']
['he lives alone', '彼--名 は--助 一人暮らし--名 です--助']
['he looked well', '彼--名 は--助 元気--名 そう--名 だっ--助 た--助']
['he looks tired', '彼--名 は--助 疲れ--動 て--助 いる--動 よう--名 だ--助']
['he looks young', '彼--名 は--助 若--形 そう--名 だ--助']
['he looks young', '彼--名 は--助 若く--形 見える--動']
['he loves music', '彼--名 は--助 音楽--名 が--助 たいへん--副 好き--名 で--助 ある--助']
['he must be out', '彼--名 は--助 い--動 ない--助 だろ--助 う--助']
['he needs money', '彼--名 は--助 お金--名 が--助 必要--名 だ--助']
['he sang a song', '彼--名 が--助 歌--名 を--助 歌っ--動 た--助']
['he scolded her', '彼--名 は--助 彼女--名 を--助 しかっ--動 た--助']
['he seems happy', '彼--名 は--助 幸福--名 で--助 ある--助 よう--名 だ--助']
['he seems happy', '彼--名 は--助 幸せ--名 そう--名 だ--助']
['he seems tired', '彼--名 は--助 疲れ--動 て--助 いる--動 よう--名 に--助 見える--動']
['he sells fruit', '彼--名 は--助 果物--名 を--助 売る--動']
['he slapped her', '彼--名 は--助 彼女--名 を--助 殴っ--動 た--助']
['he slapped her', '彼--名 は--助 彼女--名 を--助 ひっぱたい--動 た--助']
['he surrendered', '彼--名 は--助 降参--名 し--動 た--助']
['he talks a lot', '彼--名 は--助 よく--副 しゃべる--動']
['he talks a lot', '彼--名 は--助 よく--副 しゃべる--動 人--名 だ--助']
['he wants to go', '彼--名 は--助 行き--動 た--助 がっ--動 て--助 い--動 ます--助']
['he was at home', '彼--名 は--助 家--名 に--助 い--動 た--助']
['he was hard up', '彼--名 は--助 お金--名 に--助 非常--名 に--助 困っ--動 て--助 い--動 た--助']
['he was hard up', '彼--名 は--助 金--名 に--助 窮--名 し--動 て--助 い--動 た--助']
['he was patient', '彼--名 は--助 辛抱強かっ--形 た--助']
['he was thirsty', '彼--名 の--助 喉--名 は--助 かわい--動 て--助 い--動 た--助']
['he went abroad', '彼--名 は--助 外国--名 へ--助 行っ--動 た--助']
['he went to bed', '彼--名 は--助 寝--動 た--助']
['he will not go', '彼--名 は--助 行か--動 ない--助 だろ--助 う--助']
['hes a big boy', '彼--名 は--助 大物--名 だ--助 ぜ--助']
['hes a bit shy', 'こいつ--名 、--記 ちょっと--副 引っ込み思案--名 な--助 ん--名 だ--助']
['hes a bit shy', 'あいつ--名 は--助 ちょっと--副 シャイ--名 な--助 ん--名 だ--助']
['hes an author', '彼--名 は--助 作家--名 です--助']
['his head ached', '彼--名 は--助 頭痛--名 が--助 し--動 た--助']
['hit the brakes', 'ブレーキ--名 を--助 かけろ--動']
['how did we win', '私--名 達--名 は--助 どう--副 やっ--動 て--助 勝っ--動 た--助 の--助']
['how high is it', 'どの--連 くらい--助 高い--形']
['how high is it', '高--形 さ--名 は--助 どれ--名 くらい--助']
['how much is it', 'いくら--名 です--助 か--助']
['how old is tom', 'トム--名 は--助 何--名 歳--名 です--助 か--助']
['how old is tom', 'トム--名 は--助 いくつ--名 です--助 か--助']
['hows your dad', 'お父さん--名 は--助 お--接 元気--名 です--助 か--助']
['i am hungarian', '私--名 は--助 ハンガリー--名 人--名 です--助']
['i am a student', '私--名 は--助 学生--名 です--助']
['i am in london', '僕--名 は--助 今--接 ロンドン--名 に--助 い--動 ます--助']
['i am in london', '私--名 は--助 ロンドン--名 に--助 い--動 ます--助']
['i am too short', '私--名 は--助 背--名 が--助 低--形 すぎる--動']
['i ate too much', '食べ--動 過ぎ--動 た--助']
['i bike to work', '自転車--名 で--助 通勤--名 し--動 て--助 い--動 ます--助']
['i broke my leg', '私--名 は--助 足--名 を--助 骨折--名 し--動 た--助']
['i can hear tom', 'トム--名 の--助 声--名 が--助 する--動']
['i can hear tom', 'トム--名 の--助 声--名 が--助 聞こえる--動']
['i can see that', 'わかり--動 ます--助']
['i count on tom', 'トム--名 を--助 あて--名 に--助 し--動 て--助 いる--動 ん--名 だ--助']
['i didnt do it', '僕--名 は--助 やっ--動 て--助 い--動 ない--助']
['i dislike eggs', '卵--名 は--助 嫌い--名 です--助']
['i dont get it', 'どうも--副 合点--名 が--助 いか--動 ない--助']
['i dont recall', '覚え--動 て--助 い--動 ない--助']
['i dont recall', '覚え--動 て--助 い--動 ない--助 ん--名 だ--助']
['i drank coffee', 'コーヒー--名 を--助 飲ん--動 だ--助 よ--助']
['i drank coffee', 'コーヒー--名 を--助 飲み--動 まし--助 た--助']
['i drank coffee', 'コーヒー--名 飲ん--動 だ--助 よ--助']
['i drink coffee', 'コーヒー--名 を--助 飲み--動 ます--助']
['i get off here', 'ここ--名 で--助 降り--動 ます--助']
['i go to school', '私--名 は--助 学校--名 に--助 通っ--動 て--助 い--動 ます--助']
['i got a suntan', '私--名 は--助 日焼け--名 を--助 し--動 た--助']
['i got divorced', '私--名 は--助 離婚--名 し--動 た--助']
['i had a stroke', '私--名 は--助 脳卒中--名 を--助 起こし--動 た--助']
['i had to agree', '私--名 は--助 賛同--名 し--動 なけれ--助 ば--助 なら--動 なかっ--助 た--助']
['i had to agree', '私--名 は--助 同意--名 せ--動 ざる--助 を--助 得--動 なかっ--助 た--助']
['i hate mondays', '月曜日--名 が--助 嫌い--動']
['i hate dancing', '踊る--動 の--名 が--助 大--接 っ--動 嫌い--動']
['i hate karaoke', 'カラオケ--名 が--助 大嫌い--名']
['i hate waiting', '待つ--動 の--名 って--助 大嫌い--名']
['i hate working', '仕事--名 は--助 嫌い--名 だ--助']
['i have a cough', 'せき--名 が--助 出--動 ます--助']
['i have a dream', '私--名 に--助 は--助 夢--名 が--助 ある--動']
['i have a dream', '私--名 に--助 は--助 夢--名 が--助 あり--動 ます--助']
['i have a fever', '熱--名 が--助 ある--動 ん--名 です--助']
['i have an idea', '私--名 に--助 は--助 考え--名 が--助 ある--動']
['i have an idea', '私--名 に--助 １つ--名 アイデア--名 が--助 ある--動 の--名 です--助 が--助']
['i have an idea', 'ひとつ--名 、--記 意見--名 が--助 ある--動 ん--名 です--助 が--助']
['i have hiccups', 'しゃっくり--名 が--助 出--動 て--助 いる--動']
['i have hiccups', 'しゃっくり--名 が--助 出--動 てる--動']
['i have hiccups', 'しゃっくり--名 出--動 てる--動']
['i have no idea', '全然--副 わかり--動 ませ--助 ん--助']
['i have no idea', 'わかり--動 ませ--助 ん--助']
['i have no kids', '私--名 は--助 子供--名 が--助 い--動 ませ--助 ん--助']
['i have no time', '私--名 に--助 は--助 時間--名 が--助 あり--動 ませ--助 ん--助']
['i have to wait', '僕--名 は--助 待た--動 なけれ--助 ば--助 いけ--動 ない--助']
['i have to work', '仕事--名 し--動 なきゃ--助']
['i hope so too', '私--名 も--助 そう--副 願い--動 ます--助']
['i keep a diary', '日記--名 を--助 つける--動']
['i keep a diary', '日記--名 を--助 つけ--動 て--助 い--動 ます--助']
['i kept running', '走り--動 続け--動 た--助']
['i kept singing', '僕--名 は--助 歌い--動 続け--動 た--助']
['i like fishing', '釣り--名 が--助 好き--名 だ--助']
['i like history', '私--名 は--助 歴史--名 が--助 好き--名 だ--助']
['i like singing', '私--名 は--助 歌--名 が--助 好き--名 だ--助']
['i like to sing', '私--名 は--助 歌--名 を--助 歌う--動 の--名 が--助 好き--名 だ--助']
['i like to sing', '私--名 は--助 歌--名 が--助 好き--名 だ--助']
['i love lasagna', '私--名 は--助 ラザニア--名 が--助 大--接 好物--名 な--助 ん--名 だ--助']
['i love my city', '私--名 は--助 自分--名 の--助 町--名 が--助 好き--名 です--助']
['i made tom cry', 'トム--名 を--助 泣かせ--動 て--助 しまっ--動 た--助']
['i made tom cry', 'トム--名 を--助 泣かせ--動 て--助 やっ--動 た--助']
['i may be wrong', '私--名 は--助 間違っ--動 て--助 いる--動 かも--助 しれ--動 ない--助']
['i met a friend', '私--名 は--助 友達--名 に--助 会っ--動 た--助']
['i met a friend', '友達--名 に--助 会っ--動 た--助']
['i must buy one', '１--名 台--名 買わ--動 なけれ--助 ば--助 なら--動 ない--助']
['i must go back', '戻ら--動 なく--助 て--助 は--助']
['i must go home', '私--名 は--助 帰宅--名 し--動 なけれ--助 ば--助 いけ--動 ませ--助 ん--助']
['i must go home', '家--名 に--助 帰ら--動 なく--助 ちゃ--助']
['i must go home', '家--名 に--助 帰ら--動 なきゃ--助']
['i must see tom', 'トム--名 に--助 会わ--動 なく--助 て--助 は--助']
['i need a favor', '頼み--動 たい--助 こと--名 が--助 ある--動 の--名 です--助 が--助']
['i need a favor', 'ちょっと--副 お願い--名 し--動 て--助 も--助 いい--形 です--助 か--助']
['i need a knife', '包丁--名 が--助 必要--名 だ--助']
['i need a knife', 'ナイフ--名 が--助 必要--名 だ--助']
['i need friends', '私--名 に--助 は--助 友達--名 が--助 必要--名 です--助']
['i need my cane', '杖--名 が--助 ない--形 と--助 困る--動']
['i need my keys', '鍵--名 が--助 ない--形 と--助']
['i need surgery', '手術--名 を--助 受け--動 なく--助 て--助 は--助 なら--動 ない--助']
['i need to rest', '休ま--動 なく--助 て--助 は--助']
['i need to work', '私--名 は--助 働か--動 なく--助 て--助 は--助 なら--動 ない--助']
['i needed money', '私--名 に--助 は--助 金--名 が--助 必要--名 だっ--助 た--助']
['i often hiccup', 'よく--副 しゃっくり--名 が--助 出る--動']
['i often travel', '私--名 は--助 よく--副 旅行--名 し--動 ます--助']
['i own this car', 'この--連 車--名 は--助 私--名 の--名 です--助']
['i punished tom', '私--名 は--助 トム--名 に--助 お仕置き--名 を--助 し--動 た--助']
['i quit smoking', '私--名 は--助 タバコ--名 を--助 吸う--動 の--名 を--助 やめ--動 た--助']
['i quit smoking', '禁煙--名 中--名 な--助 ん--名 です--助']
['i ran upstairs', '私--名 は--助 二--名 階--名 に--助 駆け--動 上がっ--動 た--助']
['i really tried', '本当に--副 やっ--動 て--助 み--動 た--助 ん--名 だ--助']
['i said drop it', 'やめ--動 て--助 っ--動 て--助 言っ--動 てる--動 でしょ--助']
['i said drop it', 'やめろ--動 と--助 言っ--動 たら--助 やめろ--動']
['i said get out', '出--動 て--助 いけ--動 って--助 言っ--動 てる--動 だろ--助']
['i said get out', '「--記 出--動 て--助 行け--動 」--記 と--助 言っ--動 た--助 はず--名 だ--助']
['i said get out', '出--動 て--助 いけ--動 って--助 言っ--動 てる--動 だろ--助']
['i said get out', '「--記 出--動 て--助 行け--動 」--記 と--助 言っ--動 た--助 はず--名 だ--助']
['i said go away', '失せろ--動 と--助 言っ--動 た--助 はず--名 だ--助']
['i said go away', 'あっち--名 へ--助 行け--動 って--助 言っ--動 てる--動 だろ--助']
['i said go home', '家--名 に--助 帰り--動 なさい--動 と--助 言っ--動 た--助 はず--名 です--助']
['i said shut up', 'だから--接 黙れ--動 って--助 ば--助']
['i said shut up', '黙れ--動 っ--動 つっ--動 て--助 ん--名 だろ--助']
['i said shut up', 'だから--接 黙れ--動 って--助 ば--助']
['i said shut up', '黙れ--動 っ--動 つっ--動 て--助 ん--名 だろ--助']
['i said stop it', 'やめろ--動 と--助 言っ--動 てる--動 だろ--助 う--助 が--助']
['i saw a friend', '友達--名 に--助 会っ--動 た--助']
['i saw five men', '私--名 は--助 5--名 人--名 の--助 男性--名 を--助 見--動 まし--助 た--助']
['i saw her home', '私--名 は--助 彼女--名 を--助 家--名 まで--助 送っ--動 た--助']
['i saw her swim', '私--名 は--助 彼女--名 が--助 泳ぐ--動 の--名 を--助 見--動 た--助']
['i saw him jump', '私--名 は--助 彼--名 が--助 ジャンプ--名 する--動 の--名 を--助 見--動 た--助']
['i saw it on tv', 'それ--名 、--記 テレビ--名 で--助 見--動 た--助 わ--助']
['i should relax', '僕--名 は--助 リラックス--名 す--動 べき--助 だ--助']
['i sneeze a lot', 'よく--副 くしゃみ--名 が--助 出--動 ます--助']
['i speak french', 'フランス語--名 が--助 出来--動 ます--助']
['i study korean', '私--名 は--助 韓国--名 語--名 を--助 勉強--名 し--動 ます--助']
['i study korean', '私--名 は--助 朝鮮--名 語--名 を--助 勉強--名 し--動 ます--助']
['i study korean', '私--名 は--助 ハングル--名 を--助 勉強--名 し--動 ます--助']
['i study korean', '私--名 は--助 韓国--名 語--名 を--助 勉強--名 し--動 て--助 いる--動']
['i teach french', 'フランス語--名 を--助 教え--動 て--助 いる--動']
['i travel a lot', '私--名 は--助 よく--副 旅行--名 する--動']
['i turned right', '私--名 は--助 右折--名 し--動 た--助']
['i turned right', '私--名 は--助 右--名 に--助 曲がっ--動 た--助']
['i turned right', '僕--名 は--助 右--名 に--助 折れ--動 た--助']
['i usually walk', 'たいてい--副 歩い--動 て--助 行き--動 ます--助']
['i want a chair', '椅子--名 が--助 一つ--名 欲しい--形']
['i want a donut', 'ドーナツ--名 が--助 一つ--名 欲しい--形']
['i want a glass', 'コップ--名 が--助 一つ--名 欲しい--形']
['i want a knife', 'ナイフ--名 が--助 一丁--名 欲しい--形']
['i want a puppy', '犬--名 が--助 一--名 匹--名 欲しい--形']
['i want details', '詳細--名 が--助 欲しい--形']
['i want details', 'もっと--副 詳しく--形 知り--動 たい--助']
['i want to help', '役に立ち--動 たい--助 ん--名 だ--助']
['i want to know', '知り--動 たい--助 ん--名 だ--助']
['i want to live', '生き--動 たい--助']
['i want to rest', '休み--動 たい--助']
['i was a member', '私--名 は--助 会員--名 でし--助 た--助']
['i was an idiot', '間抜け--名 だっ--助 た--助 わ--助']
['i was captured', '捕まっ--動 て--助 しまっ--動 た--助']
['i was careless', '不注意--名 だっ--助 た--助 わ--助']
['i was confused', '混乱--名 し--動 て--助 しまっ--動 た--助']
['i was impolite', '私--名 は--助 無礼--名 だっ--助 た--助']
['i was mistaken', '私--名 が--助 間違っ--動 て--助 まし--助 た--助']
['i was mistaken', '勘違い--名 し--動 て--動 た--助 わ--助']
['i was welcomed', '私--名 は--助 歓迎--名 を--助 うけ--動 た--助']
['i will sue you', 'あなた--名 を--助 訴え--動 ます--助']
['ill go change', '服--名 を--助 着替え--名 に--助 行っ--動 て--助 くる--動']
['ill go change', 'ちょっと--副 着替え--動 て--助 くる--動 ね--助']
['ill handle it', '私--名 が--助 なんとか--副 しよ--動 う--助']
['ill manage it', '何とか--副 し--動 ます--助']
['ill pay today', '今日--名 払う--動 よ--助']
['ill phone tom', 'トム--名 に--助 電話--名 する--動 よ--助']
['ill phone you', '電話--名 する--動 よ--助']
['ill see to it', '僕--名 が--助 面倒--名 を--助 見--動 ます--助']
['ill see to it', '私--名 が--助 ちゃんと--副 やり--動 ます--助 から--助']
['ill see to it', '私--名 が--助 それ--名 を--助 引き受け--動 ます--助']
['ill stay home', '僕--名 は--助 家--名 に--助 いる--動 よ--助']
['ill stay home', '私--名 は--助 家--名 に--助 いる--動 つもり--名 だ--助']
['ill treat you', '君--名 に--助 おごっ--動 て--助 やる--動 よ--助']
['ill treat you', 'おごる--動 よ--助']
